user_id,item_id,rating,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
user_1,2209,2,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_44,2209,2,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_177,2209,4,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_267,2209,3,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_271,2209,1,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_281,2209,4,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_312,2209,4,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_361,2209,3,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_453,2209,1,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_460,2209,3,2209,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Adidas Men 3 Stripe White Polo T-shirt
user_1,2248,2,2248,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Sports,Puma Men's Drifter Black Green Flip Flops
user_40,2248,3,2248,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Sports,Puma Men's Drifter Black Green Flip Flops
user_174,2248,4,2248,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Sports,Puma Men's Drifter Black Green Flip Flops
user_178,2248,5,2248,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Sports,Puma Men's Drifter Black Green Flip Flops
user_233,2248,4,2248,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Sports,Puma Men's Drifter Black Green Flip Flops
user_382,2248,1,2248,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Sports,Puma Men's Drifter Black Green Flip Flops
user_401,2248,2,2248,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Sports,Puma Men's Drifter Black Green Flip Flops
user_409,2248,4,2248,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Sports,Puma Men's Drifter Black Green Flip Flops
user_1,2388,1,2388,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Casual Shoe
user_25,2388,2,2388,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Casual Shoe
user_83,2388,4,2388,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Casual Shoe
user_204,2388,1,2388,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Casual Shoe
user_221,2388,5,2388,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Casual Shoe
user_240,2388,1,2388,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Casual Shoe
user_349,2388,5,2388,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Casual Shoe
user_418,2388,2,2388,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018,Casual,Red Tape Men Brown Casual Shoe
user_1,1549,2,1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Jiyu Slip On Sneaker
user_98,1549,2,1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Jiyu Slip On Sneaker
user_204,1549,3,1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Jiyu Slip On Sneaker
user_384,1549,1,1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Jiyu Slip On Sneaker
user_395,1549,5,1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Jiyu Slip On Sneaker
user_423,1549,5,1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Jiyu Slip On Sneaker
user_1,2151,5,2151,Men,Apparel,Topwear,Tshirts,White,Spring,2011,Casual,Basics Men Red & Blue Polo T-shirt
user_69,2151,1,2151,Men,Apparel,Topwear,Tshirts,White,Spring,2011,Casual,Basics Men Red & Blue Polo T-shirt
user_222,2151,5,2151,Men,Apparel,Topwear,Tshirts,White,Spring,2011,Casual,Basics Men Red & Blue Polo T-shirt
user_424,2151,5,2151,Men,Apparel,Topwear,Tshirts,White,Spring,2011,Casual,Basics Men Red & Blue Polo T-shirt
user_475,2151,3,2151,Men,Apparel,Topwear,Tshirts,White,Spring,2011,Casual,Basics Men Red & Blue Polo T-shirt
user_1,2863,5,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_34,2863,5,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_56,2863,3,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_75,2863,4,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_76,2863,5,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_248,2863,3,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_360,2863,5,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_362,2863,5,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_366,2863,1,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_374,2863,3,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_434,2863,5,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_472,2863,5,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_487,2863,4,2863,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Inkfruit Mens Kick Off T-shirt
user_1,2180,5,2180,Men,Apparel,Topwear,Tshirts,Orange,Summer,2011,Casual,Probase Mens Probase Orange Stripe Polo tee T-shirt
user_251,2180,2,2180,Men,Apparel,Topwear,Tshirts,Orange,Summer,2011,Casual,Probase Mens Probase Orange Stripe Polo tee T-shirt
user_256,2180,3,2180,Men,Apparel,Topwear,Tshirts,Orange,Summer,2011,Casual,Probase Mens Probase Orange Stripe Polo tee T-shirt
user_493,2180,2,2180,Men,Apparel,Topwear,Tshirts,Orange,Summer,2011,Casual,Probase Mens Probase Orange Stripe Polo tee T-shirt
user_1,2825,4,2825,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Lee Cooper Men Leather Semi Formal Black Shoe
user_272,2825,5,2825,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Lee Cooper Men Leather Semi Formal Black Shoe
user_332,2825,1,2825,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Lee Cooper Men Leather Semi Formal Black Shoe
user_1,2338,2,2338,Men,Apparel,Topwear,Tshirts,White,Fall,2012,Casual,Reebok Men Star White Polo T-shirt
user_25,2338,4,2338,Men,Apparel,Topwear,Tshirts,White,Fall,2012,Casual,Reebok Men Star White Polo T-shirt
user_37,2338,2,2338,Men,Apparel,Topwear,Tshirts,White,Fall,2012,Casual,Reebok Men Star White Polo T-shirt
user_44,2338,2,2338,Men,Apparel,Topwear,Tshirts,White,Fall,2012,Casual,Reebok Men Star White Polo T-shirt
user_181,2338,1,2338,Men,Apparel,Topwear,Tshirts,White,Fall,2012,Casual,Reebok Men Star White Polo T-shirt
user_188,2338,1,2338,Men,Apparel,Topwear,Tshirts,White,Fall,2012,Casual,Reebok Men Star White Polo T-shirt
user_257,2338,5,2338,Men,Apparel,Topwear,Tshirts,White,Fall,2012,Casual,Reebok Men Star White Polo T-shirt
user_404,2338,4,2338,Men,Apparel,Topwear,Tshirts,White,Fall,2012,Casual,Reebok Men Star White Polo T-shirt
user_1,1752,1,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_79,1752,5,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_114,1752,3,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_140,1752,1,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_191,1752,3,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_204,1752,3,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_213,1752,1,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_335,1752,3,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_436,1752,5,1752,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Lotto Men Red Epic T-shirt
user_1,2611,1,2611,Women,Footwear,Shoes,Heels,Gold,Winter,2012,Casual,Carlton London Women Stylish Gold Flats
user_117,2611,1,2611,Women,Footwear,Shoes,Heels,Gold,Winter,2012,Casual,Carlton London Women Stylish Gold Flats
user_169,2611,1,2611,Women,Footwear,Shoes,Heels,Gold,Winter,2012,Casual,Carlton London Women Stylish Gold Flats
